date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:07:30	95/95	---M-Z	200	added ('OK')	text/plain	etag:%225cb8f82dc024e84462407cfb829a79ad%22	https://3d-otomotive.framer.ai/robots.txt		(from )
13:07:32	183119/183119	---M-Z	200	added ('OK')	text/html	etag:%223e73b2b49547ea5d4401fd0fc5577f6f%22	https://3d-otomotive.framer.ai/	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/3d-otomotive.framer.ai/index.html	(from )
13:07:33	91/91	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2016%20Aug%202023%2006:07:34%20GMT	https://framerusercontent.com/modules/7bTS7HykBiXJYclg5AlT/gubqlKBZsS6n8Zxr5NgP/assets/T26kxcGg7wxhC627DjGq25XdNnM.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/modules/7bTS7HykBiXJYclg5AlT/gubqlKBZsS6n8Zxr5NgP/assets/T26kxcGg7wxhC627DjGq25XdNnM.0.delayed	(from https://3d-otomotive.framer.ai/)
13:07:33	2180/2180	---MC-	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2006:07:34%20GMT	https://framerusercontent.com/images/T26kxcGg7wxhC627DjGq25XdNnM.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/T26kxcGg7wxhC627DjGq25XdNnM.png	(from https://3d-otomotive.framer.ai/)
13:07:35	285854/285854	---MC-	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2006:07:36%20GMT	https://framerusercontent.com/images/D6wf8JaU4OuFCRTfq3B8Dak6No.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/D6wf8JaU4OuFCRTfq3B8Dak6No.png	(from https://3d-otomotive.framer.ai/)
13:07:37	196602/196602	---M-Z	200	added ('OK')	text/html	etag:%22c26848bd2f94cdf14a3f3d26bb268303%22	https://3d-otomotive.framer.ai/menu	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/3d-otomotive.framer.ai/menu.html	(from https://3d-otomotive.framer.ai/)
13:07:38	38828/38828	---MC-	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2006:07:39%20GMT	https://framerusercontent.com/images/4mPRED8SG6kYrIHbXslYeVvTGDw.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/4mPRED8SG6kYrIHbXslYeVvTGDw.png	(from https://3d-otomotive.framer.ai/)
13:07:39	375909/375909	---MC-	200	added ('OK')	image/gif	date:Wed,%2016%20Aug%202023%2006:07:40%20GMT	https://framerusercontent.com/images/EEasxLbwl5LzroLU28D7iXFDhpU.gif	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/EEasxLbwl5LzroLU28D7iXFDhpU.gif	(from https://3d-otomotive.framer.ai/)
13:07:41	1358142/1358142	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2016%20Aug%202023%2006:07:41%20GMT	https://framerusercontent.com/images/1IpXmlAkbcGb3jBBaG9Nw0F0SpU.jpg	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/1IpXmlAkbcGb3jBBaG9Nw0F0SpU.jpg	(from https://3d-otomotive.framer.ai/)
13:07:42	228424/228424	---MC-	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2006:07:43%20GMT	https://framerusercontent.com/images/2deEP3ANfeVjtdO2iHcXnIyTiQ.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/2deEP3ANfeVjtdO2iHcXnIyTiQ.png	(from https://3d-otomotive.framer.ai/)
13:07:44	183199/183199	---M-Z	200	added ('OK')	text/html	etag:%2232c83a874800df2568b194b82cb8cdb2%22	https://3d-otomotive.framer.ai/deskripsi	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/3d-otomotive.framer.ai/deskripsi.html	(from https://3d-otomotive.framer.ai/menu)
13:07:46	200526/200526	---M-Z	200	added ('OK')	text/html	etag:%22294b2b38e113ac69d5a65b6e599231b7%22	https://3d-otomotive.framer.ai/materi	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/3d-otomotive.framer.ai/materi.html	(from https://3d-otomotive.framer.ai/menu)
13:07:48	165202/165202	---M-Z	200	added ('OK')	text/html	etag:%22cbba126fa4c6a9e2b01309f588033f97%22	https://3d-otomotive.framer.ai/evaluasi	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/3d-otomotive.framer.ai/evaluasi.html	(from https://3d-otomotive.framer.ai/menu)
13:07:49	35256/35256	---MC-	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2006:07:50%20GMT	https://framerusercontent.com/images/x5ZuMjYHK9e0ZGPfDcDNaDM4A5k.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/x5ZuMjYHK9e0ZGPfDcDNaDM4A5k.png	(from https://3d-otomotive.framer.ai/menu)
13:07:51	181736/181736	---M-Z	200	added ('OK')	text/html	etag:%2233337658809b14fd8f57ef03645ea6fd%22	https://3d-otomotive.framer.ai/author	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/3d-otomotive.framer.ai/author.html	(from https://3d-otomotive.framer.ai/menu)
13:07:51	36571/36571	---MC-	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2006:07:52%20GMT	https://framerusercontent.com/images/goDydzYSgPyh2NEeEaVOzlyMo.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/goDydzYSgPyh2NEeEaVOzlyMo.png	(from https://3d-otomotive.framer.ai/menu)
13:07:53	955594/955594	---MC-	200	added ('OK')	image/gif	date:Wed,%2016%20Aug%202023%2006:07:54%20GMT	https://framerusercontent.com/images/Pp92YH641HoMPkvuw8VXw6nUg.gif	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/Pp92YH641HoMPkvuw8VXw6nUg.gif	(from https://3d-otomotive.framer.ai/materi)
13:07:55	226759/226759	---M-Z	200	added ('OK')	text/html	etag:%22ed617213336f5abaad8057828ff89bfa%22	https://3d-otomotive.framer.ai/materi-dasar-pemeliharaan	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/3d-otomotive.framer.ai/materi-dasar-pemeliharaan.html	(from https://3d-otomotive.framer.ai/materi)
13:07:57	309535/309535	---M-Z	200	added ('OK')	text/html	etag:%2290e41a9523d6b86168a0739354a9f6ec%22	https://3d-otomotive.framer.ai/materi-langkah-perbaikan	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/3d-otomotive.framer.ai/materi-langkah-perbaikan.html	(from https://3d-otomotive.framer.ai/materi)
13:08:09	901255/901255	---MC-	200	added ('OK')	image/gif	date:Wed,%2016%20Aug%202023%2006:08:08%20GMT	https://framerusercontent.com/images/ScF6ks9sBpSgYITKx8lhyfFals.gif	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/ScF6ks9sBpSgYITKx8lhyfFals.gif	(from https://3d-otomotive.framer.ai/materi)
13:08:09	34126/34126	---MC-	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2006:08:10%20GMT	https://framerusercontent.com/images/qFqV3HDSY1GlMIwJOZpyExc5gSo.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/qFqV3HDSY1GlMIwJOZpyExc5gSo.png	(from https://3d-otomotive.framer.ai/materi)
13:08:11	220371/220371	---M-Z	200	added ('OK')	text/html	etag:%22fea36232ec1673df87f3174f9e1498df%22	https://3d-otomotive.framer.ai/otomotif-mesin-komponen	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/3d-otomotive.framer.ai/otomotif-mesin-komponen.html	(from https://3d-otomotive.framer.ai/materi)
13:08:15	210515/210515	---M-Z	200	added ('OK')	text/html	etag:%223b8df5ad0aac0c711c9f2e7fc3927032%22	https://3d-otomotive.framer.ai/otomotif-mesin-pengoperasian	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/3d-otomotive.framer.ai/otomotif-mesin-pengoperasian.html	(from https://3d-otomotive.framer.ai/materi)
13:08:15	124121/124121	---MC-	200	added ('OK')	image/gif	date:Wed,%2016%20Aug%202023%2006:08:16%20GMT	https://framerusercontent.com/images/iVU8ncBAB5jkMUz6yYVAsCW2Mzo.gif	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/iVU8ncBAB5jkMUz6yYVAsCW2Mzo.gif	(from https://3d-otomotive.framer.ai/materi)
13:08:27	791988/791988	---MC-	200	added ('OK')	image/gif	date:Wed,%2016%20Aug%202023%2006:08:28%20GMT	https://framerusercontent.com/images/tvRJDnteTy6yHe21odAPGwiPU.gif	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/tvRJDnteTy6yHe21odAPGwiPU.gif	(from https://3d-otomotive.framer.ai/materi)
13:08:29	210212/210212	---M-Z	200	added ('OK')	text/html	etag:%2277c119ce3996a25410a705f5da5d7076%22	https://3d-otomotive.framer.ai/otomotif-pemeriksaan-mesin	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/3d-otomotive.framer.ai/otomotif-pemeriksaan-mesin.html	(from https://3d-otomotive.framer.ai/materi)
13:08:31	13454/13454	---MC-	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2006:08:32%20GMT	https://framerusercontent.com/images/OjehNo4TDm5iAqSe2tzZjixgYng.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/OjehNo4TDm5iAqSe2tzZjixgYng.png	(from https://3d-otomotive.framer.ai/author)
13:08:32	32686/32686	---MC-	200	added ('OK')	image/png	date:Sun,%2013%20Aug%202023%2005:44:12%20GMT	https://framerusercontent.com/images/NM5ept9oODcV0k1IYqYYgunfWo.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/NM5ept9oODcV0k1IYqYYgunfWo.png	(from https://3d-otomotive.framer.ai/materi-dasar-pemeliharaan)
13:08:32	2647543/2647543	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2016%20Aug%202023%2006:08:32%20GMT	https://framerusercontent.com/images/LvWRydr4Ud95n6ZCYgVgSQa3f6c.jpg	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/LvWRydr4Ud95n6ZCYgVgSQa3f6c.jpg	(from https://3d-otomotive.framer.ai/author)
13:08:34	236115/236115	---M-Z	200	added ('OK')	text/html	etag:%2237e4832ce701ea030c4c46296ef6b335%22	https://3d-otomotive.framer.ai/materi-pemeliharaan-terencana	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/3d-otomotive.framer.ai/materi-pemeliharaan-terencana.html	(from https://3d-otomotive.framer.ai/materi-dasar-pemeliharaan)
13:08:37	237317/237317	---M-Z	200	added ('OK')	text/html	etag:%22e05b67735cc0c133efcf5d6bcada66bf%22	https://3d-otomotive.framer.ai/materi-pemeliharaan-tidakterencana	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/3d-otomotive.framer.ai/materi-pemeliharaan-tidakterencana.html	(from https://3d-otomotive.framer.ai/materi-dasar-pemeliharaan)
13:08:37	25792/25792	---MC-	200	added ('OK')	image/png	date:Sun,%2013%20Aug%202023%2005:44:15%20GMT	https://framerusercontent.com/images/gATwxgJX0ywGw9bRXXqtBn7ti8.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/gATwxgJX0ywGw9bRXXqtBn7ti8.png	(from https://3d-otomotive.framer.ai/materi-dasar-pemeliharaan)
13:08:38	113833/113833	---MC-	200	added ('OK')	image/png	date:Sun,%2013%20Aug%202023%2005:44:16%20GMT	https://framerusercontent.com/images/PIPpbDibGLeiNwIfs5oeUVuxzw.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/PIPpbDibGLeiNwIfs5oeUVuxzw.png	(from https://3d-otomotive.framer.ai/materi-dasar-pemeliharaan)
13:08:39	293244/293244	---MC-	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2006:08:40%20GMT	https://framerusercontent.com/images/QEr1fhrI45Qa0V5j6KzgMnG5yRU.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/QEr1fhrI45Qa0V5j6KzgMnG5yRU.png	(from https://3d-otomotive.framer.ai/materi-dasar-pemeliharaan)
13:08:40	173174/173174	---MC-	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2006:08:41%20GMT	https://framerusercontent.com/images/st6WWE3LyoV6VWRJVBQuKB2w8.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/st6WWE3LyoV6VWRJVBQuKB2w8.png	(from https://3d-otomotive.framer.ai/materi-langkah-perbaikan)
13:08:42	288003/288003	---MC-	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2006:08:43%20GMT	https://framerusercontent.com/images/2nPwBzFuf55wBUJiBQ0yTOu9o.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/2nPwBzFuf55wBUJiBQ0yTOu9o.png	(from https://3d-otomotive.framer.ai/materi-langkah-perbaikan)
13:08:43	175534/175534	---MC-	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2006:08:44%20GMT	https://framerusercontent.com/images/XLAXbNYxOSGjvcXoWCM7YLNGVmY.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/XLAXbNYxOSGjvcXoWCM7YLNGVmY.png	(from https://3d-otomotive.framer.ai/materi-langkah-perbaikan)
13:08:44	206607/206607	---MC-	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2006:08:45%20GMT	https://framerusercontent.com/images/MuySNxb2Lzw5QspWXuW74N5dI.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/MuySNxb2Lzw5QspWXuW74N5dI.png	(from https://3d-otomotive.framer.ai/materi-langkah-perbaikan)
13:08:45	180094/180094	---MC-	200	added ('OK')	image/png	date:Sun,%2013%20Aug%202023%2005:44:41%20GMT	https://framerusercontent.com/images/VwrLwI8RTZVK9SwKhXj5ktLQXjc.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/VwrLwI8RTZVK9SwKhXj5ktLQXjc.png	(from https://3d-otomotive.framer.ai/materi-langkah-perbaikan)
13:08:45	68980/68980	---MC-	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2006:08:46%20GMT	https://framerusercontent.com/images/GcWuwhmuL9MGWZWsF6rhs7PsKgs.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/GcWuwhmuL9MGWZWsF6rhs7PsKgs.png	(from https://3d-otomotive.framer.ai/otomotif-mesin-komponen)
13:08:46	61459/61459	---MC-	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2006:08:47%20GMT	https://framerusercontent.com/images/qQOP28PrTSXFDNfKkfWt2OH13oY.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/qQOP28PrTSXFDNfKkfWt2OH13oY.png	(from https://3d-otomotive.framer.ai/otomotif-mesin-komponen)
13:08:47	156404/156404	---MC-	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2006:08:48%20GMT	https://framerusercontent.com/images/RM5HGaShibiXb7WAFKMFxyjIwE.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/RM5HGaShibiXb7WAFKMFxyjIwE.png	(from https://3d-otomotive.framer.ai/otomotif-mesin-komponen)
13:08:48	59215/59215	---MC-	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2006:08:49%20GMT	https://framerusercontent.com/images/jl6ai2edhDYATLM0G7y9MxbbWQ.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/jl6ai2edhDYATLM0G7y9MxbbWQ.png	(from https://3d-otomotive.framer.ai/otomotif-mesin-komponen)
13:08:50	190169/190169	---M-Z	200	added ('OK')	text/html	etag:%227b27f8dc5b20a09876c6620c29e141b5%22	https://3d-otomotive.framer.ai/otomotif-mekanisme-katup	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/3d-otomotive.framer.ai/otomotif-mekanisme-katup.html	(from https://3d-otomotive.framer.ai/otomotif-mesin-pengoperasian)
13:08:52	260816/260816	---MC-	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2006:08:53%20GMT	https://framerusercontent.com/images/hY1TSRohfgGIv24CbWnngk7l1bY.png	D:/Graphic%20Design/Web%20Template/3D-Otomotif-Rev/framerusercontent.com/images/hY1TSRohfgGIv24CbWnngk7l1bY.png	(from https://3d-otomotive.framer.ai/materi-pemeliharaan-terencana)
